"uri","righteyex","righteyey","lefteyex","lefteyey"
"nd1/Fall2002/2002-239/04201d52.JPG",433,629,631,620
"nd1/Fall2002/2002-239/04201d53.JPG",424,620,625,611
"nd1/Fall2002/2002-239/04201d56.JPG",774,241,870,243
"nd1/Fall2002/2002-239/04201d57.JPG",782,239,878,241
"nd1/Fall2002/2002-239/04203d58.JPG",579,977,775,978
"nd1/Fall2002/2002-239/04203d59.JPG",600,972,799,974
"nd1/Fall2002/2002-239/04203d62.JPG",754,496,851,497
"nd1/Fall2002/2002-239/04203d63.JPG",766,496,864,498
"nd1/Fall2002/2002-239/04261d36.JPG",433,646,628,653
"nd1/Fall2002/2002-239/04261d37.JPG",400,623,602,630
"nd1/Fall2002/2002-239/04261d40.JPG",645,440,751,433
"nd1/Fall2002/2002-239/04261d41.JPG",732,432,841,438
"nd1/Fall2002/2002-239/04279d06.JPG",541,679,723,676
"nd1/Fall2002/2002-239/04279d07.JPG",492,698,675,692
"nd1/Fall2002/2002-239/04279d10.JPG",757,324,852,322
"nd1/Fall2002/2002-239/04279d11.JPG",756,328,847,328
"nd1/Fall2002/2002-239/04424d02.JPG",440,840,614,822
"nd1/Fall2002/2002-239/04424d03.JPG",461,850,638,830
"nd1/Fall2002/2002-239/04424d04.JPG",810,263,901,255
"nd1/Fall2002/2002-239/04424d05.JPG",795,265,884,257
"nd1/Fall2002/2002-239/04428d02.JPG",564,947,755,947
"nd1/Fall2002/2002-239/04428d03.JPG",569,947,754,952
"nd1/Fall2002/2002-239/04428d04.JPG",692,427,793,428
"nd1/Fall2002/2002-239/04428d05.JPG",680,431,783,437
"nd1/Fall2002/2002-239/04435d00.JPG",541,927,731,913
"nd1/Fall2002/2002-239/04435d01.JPG",560,936,753,919
"nd1/Fall2002/2002-239/04435d04.JPG",792,397,879,392
"nd1/Fall2002/2002-239/04435d05.JPG",803,403,891,397
"nd1/Fall2002/2002-239/04515d02.JPG",647,603,832,591
"nd1/Fall2002/2002-239/04515d03.JPG",633,598,814,591
"nd1/Fall2002/2002-239/04515d04.JPG",858,278,947,286
"nd1/Fall2002/2002-239/04515d05.JPG",838,268,930,272
"nd1/Fall2002/2002-240/02463d170.JPG",595,610,815,609
"nd1/Fall2002/2002-240/02463d171.JPG",595,606,815,608
"nd1/Fall2002/2002-240/02463d174.JPG",692,438,812,437
"nd1/Fall2002/2002-240/02463d175.JPG",700,440,817,441
"nd1/Fall2002/2002-240/04202d57.JPG",452,631,637,620
"nd1/Fall2002/2002-240/04202d58.JPG",427,613,608,592
"nd1/Fall2002/2002-240/04202d61.JPG",727,682,833,674
"nd1/Fall2002/2002-240/04202d62.JPG",714,682,818,673
"nd1/Fall2002/2002-240/04212d52.JPG",598,680,797,687
"nd1/Fall2002/2002-240/04212d53.JPG",628,683,823,695
"nd1/Fall2002/2002-240/04212d56.JPG",710,490,824,491
"nd1/Fall2002/2002-240/04212d57.JPG",702,490,816,493
"nd1/Fall2002/2002-240/04221d58.JPG",534,741,738,731
"nd1/Fall2002/2002-240/04221d59.JPG",528,749,730,743
"nd1/Fall2002/2002-240/04221d62.JPG",681,682,790,686
"nd1/Fall2002/2002-240/04221d63.JPG",672,679,784,681
"nd1/Fall2002/2002-240/04226d58.JPG",538,702,742,673
"nd1/Fall2002/2002-240/04226d59.JPG",587,704,791,674
"nd1/Fall2002/2002-240/04226d62.JPG",830,363,940,352
"nd1/Fall2002/2002-240/04226d63.JPG",840,364,954,358
"nd1/Fall2002/2002-240/04227d52.JPG",508,611,718,593
"nd1/Fall2002/2002-240/04227d53.JPG",534,611,740,592
"nd1/Fall2002/2002-240/04227d56.JPG",895,589,1012,581
"nd1/Fall2002/2002-240/04227d57.JPG",854,581,971,571
"nd1/Fall2002/2002-240/04228d60.JPG",360,676,565,664
"nd1/Fall2002/2002-240/04228d61.JPG",360,681,564,666
"nd1/Fall2002/2002-240/04228d62.JPG",778,679,886,682
"nd1/Fall2002/2002-240/04228d63.JPG",790,681,903,686
"nd1/Fall2002/2002-240/04229d60.JPG",443,581,656,574
"nd1/Fall2002/2002-240/04229d61.JPG",478,576,697,574
"nd1/Fall2002/2002-240/04229d62.JPG",727,468,845,463
"nd1/Fall2002/2002-240/04229d63.JPG",729,466,849,460
"nd1/Fall2002/2002-240/04243d48.JPG",375,839,559,828
"nd1/Fall2002/2002-240/04243d49.JPG",355,850,539,841
"nd1/Fall2002/2002-240/04243d50.JPG",740,645,854,638
"nd1/Fall2002/2002-240/04243d51.JPG",714,650,831,640
"nd1/Fall2002/2002-240/04256d52.JPG",520,609,708,613
"nd1/Fall2002/2002-240/04256d53.JPG",511,612,698,616
"nd1/Fall2002/2002-240/04256d56.JPG",702,384,810,388
"nd1/Fall2002/2002-240/04256d57.JPG",701,384,808,388
"nd1/Fall2002/2002-240/04305d00.JPG",602,687,758,683
"nd1/Fall2002/2002-240/04305d01.JPG",606,693,763,687
"nd1/Fall2002/2002-240/04305d04.JPG",665,563,766,558
"nd1/Fall2002/2002-240/04305d05.JPG",660,565,758,561
"nd1/Fall2002/2002-240/04402d00.JPG",445,736,633,735
"nd1/Fall2002/2002-240/04402d01.JPG",491,727,680,728
"nd1/Fall2002/2002-240/04402d04.JPG",738,603,840,604
"nd1/Fall2002/2002-240/04402d05.JPG",725,607,829,605
